,0,1
11393,2016-04-25 22:30:37.720581055,
11394,2016-04-25 23:27:18.808441162,
11395,2016-04-25 23:36:35.542419434,
11396,2016-04-26 00:25:49.302978516,
11397,2016-04-26 00:25:50.003021240,
11398,2016-04-26 00:29:12.115356445,
11399,2016-04-26 01:33:40.831756592,
11400,2016-04-26 01:35:58.640167236,
11401,2016-04-26 02:30:46.321105957,
11402,2016-04-26 02:30:47.221160889,
11403,2016-04-26 02:31:56.125366211,
11404,2016-04-26 02:32:34.027679443,
11405,2016-04-26 02:35:48.839569092,
11406,2016-04-26 02:35:49.539611816,
11407,2016-04-26 03:26:02.103759766,
11408,2016-04-26 03:27:22.308654785,
11409,2016-04-26 03:28:34.813079834,
11410,2016-04-26 03:32:28.627349854,
11411,2016-04-26 03:33:39.831695557,
11412,2016-04-26 03:36:34.342346191,
11413,2016-04-26 04:29:30.016448975,
11414,2016-04-26 04:32:19.026763916,
11415,2016-04-26 04:32:19.726806641,
11416,2016-04-26 04:33:13.630096436,
11417,2016-04-26 04:33:19.330444336,
11418,2016-04-26 05:28:19.612152100,
11419,2016-04-26 05:29:21.415924072,
11420,2016-04-26 05:36:31.542175293,
11421,2016-04-26 06:27:29.809112549,
11422,2016-04-26 06:28:32.912963867,
11423,2016-04-26 06:29:12.115356445,
11424,2016-04-26 06:30:23.719726562,
11425,2016-04-26 06:30:56.521728516,
11426,2016-04-26 06:34:52.736145020,
11427,2016-04-26 06:35:16.037567139,
11428,2016-04-26 06:35:53.739868164,
11429,2016-04-26 07:29:59.918273926,
11430,2016-04-26 07:30:37.720581055,
11431,2016-04-26 08:26:38.105957031,
11432,2016-04-26 08:26:38.805999756,
11433,2016-04-26 08:27:22.008636475,
11434,2016-04-26 08:31:54.925292969,
11435,2016-04-26 08:32:17.126647949,
11436,2016-04-26 08:33:02.829437256,
11437,2016-04-26 08:33:44.031951904,
11438,2016-04-26 08:36:24.941772461,
11439,2016-04-26 09:28:37.113220215,
11440,2016-04-26 10:27:26.308898926,
11441,2016-04-26 10:28:20.912231445,
11442,2016-04-26 10:28:52.414154053,
11443,2016-04-26 10:32:06.626007080,
11444,2016-04-26 10:34:16.233917236,
11445,2016-04-26 11:27:30.409149170,
11446,2016-04-26 11:30:33.020294189,
11447,2016-04-26 11:32:27.527282715,
11448,2016-04-26 11:34:21.434234619,
11449,2016-04-26 11:35:36.638824463,
11450,2016-04-26 12:30:40.120727539,
11451,2016-04-26 12:33:06.729675293,
11452,2016-04-26 12:34:03.633148193,
11453,2016-04-26 13:30:01.518371582,
11454,2016-04-26 13:31:58.125488281,
11455,2016-04-26 13:32:26.927246094,
11456,2016-04-26 13:32:28.927368164,
11457,2016-04-26 13:32:58.629180908,
11458,2016-04-26 13:34:42.735534668,
11459,2016-04-26 14:27:20.608551025,
11460,2016-04-26 14:28:19.012115479,
11461,2016-04-26 14:31:22.523315430,
11462,2016-04-26 14:32:03.425811768,
11463,2016-04-26 14:34:51.436065674,
11464,2016-04-26 14:35:14.437469482,
11465,2016-04-26 14:35:55.339965820,
11466,2016-04-26 15:27:31.809234619,
11467,2016-04-26 15:30:15.919250488,
11468,2016-04-26 15:32:38.527954102,
11469,2016-04-26 15:33:48.632232666,
11470,2016-04-26 15:34:52.736145020,
11471,2016-04-26 16:29:30.216461182,
11472,2016-04-26 16:30:31.020172119,
11473,2016-04-26 16:31:23.423370361,
11474,2016-04-26 16:31:50.225006104,
11475,2016-04-26 16:32:29.827423096,
11476,2016-04-26 16:32:39.227996826,
11477,2016-04-26 16:33:09.829864502,
11478,2016-04-26 16:33:12.530029297,
11479,2016-04-26 16:34:55.936340332,
11480,2016-04-26 16:35:47.939514160,
11481,2016-04-26 16:36:19.441436768,
11482,2016-04-26 16:36:28.842010498,
11483,2016-04-26 17:25:43.802642822,
11484,2016-04-26 17:25:44.202667236,
11485,2016-04-26 17:30:27.619964600,
11486,2016-04-26 17:32:24.827117920,
11487,2016-04-26 17:33:49.832305908,
11488,2016-04-26 18:26:01.303710938,
11489,2016-04-26 18:27:56.510742188,
11490,2016-04-26 18:30:27.719970703,
11491,2016-04-26 18:30:52.921508789,
11492,2016-04-26 18:32:07.426055908,
11493,2016-04-26 18:33:12.530029297,
11494,2016-04-26 18:33:13.430084229,
